age,income,student,credit_rating,buys_computer
middle_aged,medium,yes,fai,yes
middle_aged,low,yes,excellent,yes
middle_aged,low,yes,excellent,yes
middle_aged,high,no,excellent,yes
middle_aged,high,no,excellent,yes
middle_aged,low,yes,excellent,yes
senior,medium,no,fair,yes
youth,medium,no,excellent,no
senior,medium,yes,excellent,no
senior,medium,no,excellent,no
youth,low,yes,fair,yes
youth,low,no,excellent,no
senior,low,no,excellent,no
middle_aged,medium,no,excellent,yes
senior,low,no,excellent,no
[23bcs100@mepcolinux ex4]$clear
[23bcs100@mepcolinux ex4]$ls
d.py  data.txt  ex4.prn  pr1.py  t_data.txt
[23bcs100@mepcolinux ex4]$cat d
d.py      data.txt
[23bcs100@mepcolinux ex4]$cat data.txt
age,income,student,credit_rating,buys_computer
middle_aged,medium,yes,fair,yes
middle_aged,low,yes,excellent,yes
middle_aged,low,yes,excellent,yes
middle_aged,high,no,excellent,yes
middle_aged,high,no,excellent,yes
middle_aged,low,yes,excellent,yes
senior,medium,no,fair,yes
youth,medium,no,excellent,no
senior,medium,yes,excellent,no
senior,medium,no,excellent,no
youth,low,yes,fair,yes
youth,low,no,excellent,no
senior,low,no,excellent,no
middle_aged,medium,no,excellent,yes
senior,low,no,excellent,no
youth,medium,yes,fair,yes
senior,medium,no,excellent,no
middle_aged,high,yes,excellent,yes
youth,low,no,fair,no
senior,low,no,excellent,no
senior,high,yes,excellent,no
senior,low,yes,excellent,no
senior,high,yes,fair,yes
senior,high,yes,fair,yes
senior,medium,no,fair,yes
youth,medium,yes,excellent,yes
middle_aged,high,yes,fair,yes
senior,medium,yes,fair,yes
middle_aged,low,yes,excellent,yes
middle_aged,medium,no,excellent,yes
senior,medium,yes,excellent,no
senior,high,no,fair,yes
youth,low,yes,excellent,yes
middle_aged,low,yes,fair,yes
senior,low,yes,fair,yes
youth,high,no,fair,no
senior,high,yes,excellent,no
senior,medium,no,fair,yes
youth,high,no,excellent,no
senior,high,yes,fair,yes
youth,low,no,excellent,no
senior,high,no,excellent,no
senior,low,yes,excellent,no
youth,low,no,fair,no
middle_aged,high,yes,excellent,yes
middle_aged,high,no,fair,yes
youth,medium,no,fair,no
senior,medium,no,fair,yes
senior,low,yes,fair,yes
middle_aged,low,yes,fair,yes
senior,high,yes,excellent,no
middle_aged,low,no,excellent,yes
middle_aged,medium,yes,fair,yes
youth,low,yes,fair,yes
senior,low,yes,excellent,no
middle_aged,high,yes,excellent,yes
middle_aged,low,no,excellent,yes
senior,low,yes,excellent,no
middle_aged,low,yes,excellent,yes
senior,high,no,excellent,no
senior,low,no,excellent,no
middle_aged,high,no,fair,yes
middle_aged,high,yes,excellent,yes
senior,low,yes,fair,yes
senior,low,no,fair,yes
middle_aged,low,yes,excellent,yes
senior,low,yes,excellent,no
senior,medium,no,excellent,no
middle_aged,high,yes,excellent,yes
middle_aged,high,yes,fair,yes
senior,medium,no,excellent,no
middle_aged,high,yes,excellent,yes
youth,high,no,excellent,no
middle_aged,low,yes,excellent,yes
middle_aged,medium,yes,excellent,yes
senior,low,no,excellent,no
youth,high,yes,excellent,yes
senior,high,yes,fair,yes
senior,low,no,fair,yes
senior,low,yes,fair,yes
youth,medium,yes,fair,yes
middle_aged,high,yes,excellent,yes
senior,medium,yes,excellent,no
youth,medium,yes,fair,yes
senior,low,yes,excellent,no
middle_aged,medium,no,excellent,yes
senior,low,no,excellent,no
youth,high,no,excellent,no
youth,low,yes,excellent,yes
senior,medium,no,fair,yes
youth,medium,yes,fair,yes
youth,medium,yes,excellent,yes
middle_aged,medium,yes,excellent,yes
youth,high,no,fair,no
youth,medium,yes,fair,yes
youth,low,yes,fair,yes
youth,low,no,excellent,no
middle_aged,medium,no,excellent,yes
middle_aged,medium,yes,excellent,yes
senior,high,no,fair,yes
senior,high,yes,fair,yes
senior,low,no,fair,yes
middle_aged,high,yes,fair,yes
youth,low,yes,fair,yes
middle_aged,low,yes,excellent,yes
youth,low,no,excellent,no
youth,medium,no,excellent,no
youth,low,yes,fair,yes
senior,low,yes,fair,yes
youth,low,no,fair,no
youth,high,no,fair,no
senior,medium,yes,fair,yes
senior,low,no,excellent,no
youth,medium,yes,fair,yes
middle_aged,low,no,excellent,yes
youth,medium,no,excellent,no
senior,medium,no,excellent,no
youth,medium,no,excellent,no
youth,medium,yes,excellent,yes
youth,medium,no,excellent,no
middle_aged,low,yes,excellent,yes
middle_aged,low,no,fair,yes
middle_aged,medium,no,excellent,yes
middle_aged,high,no,fair,yes
youth,low,no,fair,no
youth,low,no,excellent,no
middle_aged,high,no,fair,yes
youth,medium,no,fair,no
youth,low,yes,excellent,yes
senior,medium,no,fair,yes
middle_aged,low,no,fair,yes
middle_aged,high,no,fair,yes
youth,medium,no,fair,no
youth,low,yes,fair,yes
youth,low,yes,fair,yes
youth,medium,no,excellent,no
senior,medium,yes,excellent,no
youth,low,no,fair,no
middle_aged,low,no,excellent,yes
youth,medium,yes,fair,yes
youth,low,no,excellent,no
middle_aged,medium,no,excellent,yes
youth,low,yes,excellent,yes
senior,low,yes,excellent,no
youth,medium,yes,fair,yes
youth,medium,no,fair,no
youth,high,no,fair,no
middle_aged,high,yes,fair,yes
senior,high,no,fair,yes
middle_aged,low,no,excellent,yes
